1,北海道札幌市中央区,43.05546,141.340956
2,北海道札幌市北区,43.09085,141.340831
3,北海道札幌市東区,43.076069,141.363722
4,北海道札幌市白石区,43.047687,141.405078
5,北海道札幌市豊平区,43.031291,141.380106
6,北海道札幌市南区,42.990031,141.353497
7,北海道札幌市西区,43.07447,141.300889
8,北海道札幌市厚別区,43.036408,141.474789
9,北海道札幌市手稲区,43.121944,141.245632
10,北海道札幌市清田区,42.999636,141.44383
11,北海道函館市,41.768793,140.72881
12,北海道小樽市,43.190717,140.994662
13,北海道旭川市,43.770636,142.364819
14,北海道室蘭市,42.315231,140.973799
15,北海道釧路市,42.984854,144.381356
16,北海道帯広市,42.923899,143.196103
17,北海道北見市,43.804031,143.895876
18,北海道夕張市,43.056734,141.973896
19,北海道岩見沢市,43.196206,141.775933
20,北海道網走市,44.020632,144.273398
21,北海道留萌市,43.940987,141.637012
22,北海道苫小牧市,42.634302,141.605372
23,北海道稚内市,45.415664,141.673082
24,北海道美唄市,43.332881,141.853785
25,北海道芦別市,43.518166,142.189436
26,北海道江別市,43.103745,141.536247
27,北海道赤平市,43.558074,142.044211
28,北海道紋別市,44.356484,143.354503
29,北海道士別市,44.178734,142.400404
30,北海道名寄市,44.355938,142.463167
31,北海道三笠市,43.245435,141.875327
32,北海道根室市,43.330076,145.58279
33,北海道千歳市,42.820958,141.650876
34,北海道滝川市,43.557795,141.91019
35,北海道砂川市,43.494843,141.903465
36,北海道歌志内市,43.521353,142.034568
37,北海道深川市,43.72326,142.053538
38,北海道富良野市,43.34214,142.383225
39,北海道登別市,42.41276,141.106632
40,北海道恵庭市,42.882562,141.577815
41,北海道伊達市,42.471851,140.864679
42,北海道北広島市,42.98563,141.563543
43,北海道石狩市,43.171384,141.31552
44,北海道北斗市,41.82406,140.652903
45,北海道石狩郡当別町,43.223683,141.517072
46,北海道石狩郡新篠津村,43.225424,141.649216
47,北海道松前郡松前町,41.430037,140.110435
48,北海道松前郡福島町,41.483802,140.251326
49,北海道上磯郡知内町,41.598356,140.418963
50,北海道上磯郡木古内町,41.678264,140.437568
51,北海道亀田郡七飯町,41.89572,140.69428
52,北海道茅部郡鹿部町,42.038487,140.815939
53,北海道茅部郡森町,42.104795,140.576324
